,Station,Time,Forecast(Entry/h),",Forecast(Exit/h)",Forecast(Traffic/h_turnstl)
245,34 ST-PENN STA,8/10/2017 18:00,2207.240122,2534.440902,51.01174462
246,34 ST-PENN STA,8/10/2017 22:00,2069.335611,1595.409593,41.20266309
247,34 ST-PENN STA,8/11/2017 2:00,1806.072791,850.4244497,30.01313682
248,34 ST-PENN STA,8/11/2017 6:00,1744.996894,721.5046403,27.5945796
249,34 ST-PENN STA,8/11/2017 10:00,2237.849247,1350.07319,46.02763769
250,34 ST-PENN STA,8/11/2017 14:00,1945.383503,1459.088366,39.55135201
251,34 ST-PENN STA,8/11/2017 18:00,2037.615306,2399.478339,48.39453247
252,34 ST-PENN STA,8/11/2017 22:00,1926.333435,1545.745889,40.11812611
253,50 ST,8/5/2017 0:00,2296.370794,1077.675176,22.72295755
254,50 ST,8/5/2017 4:00,554.466912,410.9377991,5.987292757
255,50 ST,8/5/2017 8:00,578.9293045,1234.916282,11.74756513
256,50 ST,8/5/2017 12:00,1901.009702,2691.661128,32.71710739
257,50 ST,8/5/2017 16:00,2551.830666,1742.324169,28.56832641
258,50 ST,8/5/2017 20:00,4301.935569,2211.570025,45.31875508
259,50 ST,8/6/2017 0:00,2381.372535,1141.884756,26.72325823
260,50 ST,8/6/2017 4:00,870.6264398,614.1913303,11.46715758
261,50 ST,8/6/2017 8:00,888.3350909,1227.740234,16.70024637
262,50 ST,8/6/2017 12:00,2036.527215,2388.720692,35.80421287
263,50 ST,8/6/2017 16:00,2580.571555,1593.832603,32.02342081
264,50 ST,8/6/2017 20:00,4080.430831,2007.335443,47.29234954
265,50 ST,8/7/2017 0:00,2292.326622,1194.204246,25.81094539
266,50 ST,8/7/2017 4:00,974.5175465,781.39596,11.90626905
267,50 ST,8/7/2017 8:00,983.8685934,1274.95915,16.67543605
268,50 ST,8/7/2017 12:00,1998.826387,2179.604377,34.08687808
269,50 ST,8/7/2017 16:00,2482.88839,1572.752097,30.64102843
270,50 ST,8/7/2017 20:00,3815.611551,1880.793722,44.55736938
271,50 ST,8/8/2017 0:00,2211.471915,1247.065079,24.91687005
272,50 ST,8/8/2017 4:00,1060.450962,922.2229809,12.24397145
273,50 ST,8/8/2017 8:00,1069.56611,1305.891134,16.59064349
274,50 ST,8/8/2017 12:00,1952.954471,2019.789283,32.45964763
275,50 ST,8/8/2017 16:00,2369.950396,1535.926731,29.31905723
276,50 ST,8/8/2017 20:00,3524.847478,1784.429534,42.00258622
277,50 ST,8/9/2017 0:00,2138.286976,1286.22649,24.0398898
278,50 ST,8/9/2017 4:00,1132.063259,1031.098873,12.4896507
279,50 ST,8/9/2017 8:00,1138.779543,1334.273254,16.4512621
280,50 ST,8/9/2017 12:00,1914.050829,1894.246053,30.91447186
281,50 ST,8/9/2017 16:00,2281.631396,1516.60205,28.0520983
282,50 ST,8/9/2017 20:00,3297.609492,1709.459349,39.61202605
283,50 ST,8/10/2017 0:00,2070.72088,1319.859275,23.1784999
284,50 ST,8/10/2017 4:00,1191.050746,1119.278809,12.65146682
285,50 ST,8/10/2017 8:00,1197.395644,1356.928502,16.26212923
286,50 ST,8/10/2017 12:00,1873.883708,1797.448993,29.44408037
287,50 ST,8/10/2017 16:00,2193.502746,1499.641878,26.83527714
288,50 ST,8/10/2017 20:00,3078.575058,1652.148197,37.37114057
289,50 ST,8/11/2017 0:00,2008.426588,1347.109373,22.33131941
290,50 ST,8/11/2017 4:00,1239.254158,1189.492941,12.73684916
291,50 ST,8/11/2017 8:00,1244.474879,1376.506804,16.02765226
292,50 ST,8/11/2017 12:00,1836.809411,1722.564235,28.0418482
293,50 ST,8/11/2017 16:00,2117.221805,1488.892431,25.66415215
294,50 ST,8/11/2017 20:00,2892.96275,1608.395417,35.26667049
295,FULTON ST,8/5/2017 1:00,1165.384632,569.6762747,8.948292655
296,FULTON ST,8/5/2017 5:00,108.7771517,427.4672088,1.570445672
297,FULTON ST,8/5/2017 9:00,1458.775207,2849.109108,21.20862271
298,FULTON ST,8/5/2017 13:00,2061.427423,2635.758868,24.32218669
299,FULTON ST,8/5/2017 17:00,4136.931326,1996.818374,29.44551115
300,FULTON ST,8/5/2017 21:00,5018.564408,1960.431003,35.50844762
301,FULTON ST,8/6/2017 1:00,2079.209776,787.4734961,17.49953853
302,FULTON ST,8/6/2017 5:00,1229.388977,720.643561,11.04520569
303,FULTON ST,8/6/2017 9:00,2367.409864,2482.141458,29.27665905
304,FULTON ST,8/6/2017 13:00,2935.214571,2404.821306,31.77292939
305,FULTON ST,8/6/2017 17:00,4732.452211,1877.824292,36.56338031
306,FULTON ST,8/6/2017 21:00,5525.331878,1827.548992,41.94787078
307,FULTON ST,8/7/2017 1:00,1986.365384,966.5923121,16.5740776
308,FULTON ST,8/7/2017 5:00,1250.468313,896.7463866,10.68071965
309,FULTON ST,8/7/2017 9:00,2242.952671,2258.101266,27.2320057
310,FULTON ST,8/7/2017 13:00,2745.793587,2158.85606,29.48204987
311,FULTON ST,8/7/2017 17:00,4319.524757,1783.118807,33.83233699
312,FULTON ST,8/7/2017 21:00,5017.408971,1756.34828,38.71080427
313,FULTON ST,8/8/2017 1:00,1892.810995,1090.711531,15.56936192
314,FULTON ST,8/8/2017 5:00,1248.387895,1047.505575,10.22285769
315,FULTON ST,8/8/2017 9:00,2118.335859,2059.062876,25.23423827
316,FULTON ST,8/8/2017 13:00,2560.017703,2004.182665,27.27426089
317,FULTON ST,8/8/2017 17:00,3940.225778,1709.920354,31.21985515
318,FULTON ST,8/8/2017 21:00,4552.723843,1684.255802,35.64403554
319,FULTON ST,8/9/2017 1:00,1792.895157,1189.26223,14.52528713
320,FULTON ST,8/9/2017 5:00,1227.709196,1152.011317,9.676355147
321,FULTON ST,8/9/2017 9:00,1990.787428,1923.022445,23.29052507
322,FULTON ST,8/9/2017 13:00,2378.321238,1871.819926,25.14064019
323,FULTON ST,8/9/2017 17:00,3589.070387,1655.020167,28.71899326
324,FULTON ST,8/9/2017 21:00,4126.41922,1638.326758,32.7313688
325,FULTON ST,8/10/2017 1:00,1686.738906,1260.722881,13.44697159
326,FULTON ST,8/10/2017 5:00,1190.943972,1234.887285,9.049367736
327,FULTON ST,8/10/2017 9:00,1860.346298,1812.928775,21.39635237
328,FULTON ST,8/10/2017 13:00,2200.31954,1779.081144,23.07426049
329,FULTON ST,8/10/2017 17:00,3262.447869,1612.915534,26.31954622
330,FULTON ST,8/10/2017 21:00,3733.842756,1599.010918,29.95845555
331,FULTON ST,8/11/2017 1:00,1575.032188,1315.555636,12.33766808
332,FULTON ST,8/11/2017 5:00,1140.096458,1294.947609,8.349386385
333,FULTON ST,8/11/2017 9:00,1727.33049,1732.978126,19.54713246
334,FULTON ST,8/11/2017 13:00,2025.574039,1705.093352,21.06886339
